,High,Low,Open,Close,Volume,Adj Close,Company Name
4410,717.2000122070312,706.2750244140625,717.2000122070312,709.3250122070312,980022.0,676.3570556640625,M&M
4411,719.9500122070312,710.0250244140625,712.5,717.0499877929688,1933116.0,683.7230834960938,M&M
4412,722.0,712.5250244140625,717.5,715.5,1735164.0,682.2451171875,M&M
4413,720.7249755859375,713.4000244140625,716.3250122070312,717.5,1487160.0,684.1521606445312,M&M
4414,721.5499877929688,715.0,719.4749755859375,716.7000122070312,1383574.0,683.3892822265625,M&M
4415,715.0,700.2750244140625,715.0,703.2750244140625,5367350.0,670.5883178710938,M&M
4416,713.4749755859375,703.0,707.0,704.7000122070312,2154686.0,671.9471435546875,M&M
4417,710.0,696.375,710.0,700.5,2925628.0,667.9422607421875,M&M
4418,704.6749877929688,691.5,700.0,694.0999755859375,2599242.0,661.8397216796875,M&M
4419,696.2000122070312,681.7249755859375,693.5,683.7249755859375,2369644.0,651.9468383789062,M&M
4420,691.25,684.0499877929688,688.4000244140625,689.7750244140625,3113720.0,657.7157592773438,M&M
4421,696.8250122070312,689.7000122070312,693.3499755859375,694.0750122070312,2399392.0,661.81591796875,M&M
4422,713.9249877929688,696.25,697.9249877929688,709.125,2646642.0,676.1663818359375,M&M
4423,714.25,705.5499877929688,709.9000244140625,709.5750122070312,2812240.0,676.595458984375,M&M
4424,716.0,705.0,710.9000244140625,706.25,3787148.0,673.425048828125,M&M
4425,718.0,706.5,708.5,715.7999877929688,5505930.0,682.5311889648438,M&M
4426,745.0,720.5,721.25,741.7000122070312,7105514.0,707.2274169921875,M&M
4427,769.5,727.5,742.0,760.7249755859375,8530702.0,725.3681640625,M&M
4428,780.4749755859375,761.0,767.5,778.1500244140625,11347974.0,741.9832763671875,M&M
4429,785.7000122070312,766.5499877929688,780.0,770.875,9660028.0,735.0463256835938,M&M
4430,767.0,738.9500122070312,767.0,742.2000122070312,6803736.0,707.7041625976562,M&M
4431,753.4000244140625,743.0,747.0,746.2000122070312,2338232.0,711.5182495117188,M&M
4432,749.9500122070312,736.7000122070312,748.0,741.5499877929688,3887128.0,707.0842895507812,M&M
4433,754.9000244140625,739.4500122070312,744.7999877929688,746.75,2523905.0,712.0426635742188,M&M
4434,753.9500122070312,745.3499755859375,747.0,749.9500122070312,5643656.0,715.0939331054688,M&M
4435,753.0,743.9000244140625,751.0,751.0999755859375,2055582.0,716.1904907226562,M&M
4436,758.9000244140625,743.0,751.0,744.6500244140625,2476302.0,710.0403442382812,M&M
4437,758.0,746.2999877929688,754.0,752.9000244140625,3020597.0,717.9068603515625,M&M
4438,759.0,750.0,755.9000244140625,754.9000244140625,2256643.0,719.81396484375,M&M
4439,761.0,750.5,761.0,756.0,1663380.0,720.86279296875,M&M
4440,758.5,753.5999755859375,756.0,756.3499755859375,1255982.0,721.1964721679688,M&M
4441,760.0,756.5499877929688,757.0499877929688,759.9000244140625,2309604.0,724.5816040039062,M&M
4442,766.0,757.2000122070312,760.0,762.4500122070312,1947163.0,727.0130004882812,M&M
4443,765.0,754.2000122070312,762.0499877929688,759.8499755859375,1275821.0,724.5338134765625,M&M
4444,768.9500122070312,755.5,760.2999877929688,766.6500244140625,2291617.0,731.017822265625,M&M
4445,769.5,761.75,767.0999755859375,767.5,1363265.0,731.8283081054688,M&M
4446,775.6500244140625,755.6500244140625,770.0,759.2000122070312,2127778.0,723.9140625,M&M
4447,762.5499877929688,741.0,759.0,746.7000122070312,1611817.0,711.9951171875,M&M
4448,754.0,738.8499755859375,747.0499877929688,745.3499755859375,1940533.0,710.707763671875,M&M
4449,765.0,745.0,750.0,759.25,2810014.0,723.9617309570312,M&M
4450,768.2999877929688,748.2999877929688,760.0,765.4000244140625,2005133.0,729.825927734375,M&M
4451,769.0,756.0,762.0999755859375,759.5999755859375,934811.0,724.29541015625,M&M
4452,773.0,761.4000244140625,761.9500122070312,769.0499877929688,2775928.0,733.3062133789062,M&M
4453,771.0,752.4000244140625,769.0499877929688,755.4000244140625,2080315.0,720.2906494140625,M&M
4454,762.0,748.3499755859375,756.5,757.7999877929688,2878048.0,722.5791015625,M&M
4455,772.0,757.2999877929688,757.2999877929688,764.3499755859375,2074165.0,728.8246459960938,M&M
4456,768.6500244140625,753.0999755859375,764.0,764.9000244140625,1648188.0,729.3492431640625,M&M
4457,771.1500244140625,756.6500244140625,764.7999877929688,763.0499877929688,2242045.0,727.5850830078125,M&M
4458,802.5499877929688,763.0,768.9000244140625,798.75,6896060.0,761.6258544921875,M&M
4459,800.0,765.5499877929688,798.75,770.25,3783976.0,734.4503784179688,M&M
4460,769.75,745.0,762.9000244140625,760.5,2018332.0,725.153564453125,M&M
4461,759.9000244140625,730.75,743.7999877929688,751.7999877929688,5626253.0,716.8580322265625,M&M
4462,771.9500122070312,743.75,767.4000244140625,747.0999755859375,1909559.0,712.3764038085938,M&M
4463,760.7000122070312,746.0,754.0,752.2000122070312,3024010.0,717.2394409179688,M&M
4464,753.2999877929688,742.0,747.0,750.0499877929688,2214895.0,715.1893310546875,M&M
4465,770.0,743.0,770.0,746.0,2662221.0,711.3275756835938,M&M
4466,753.9500122070312,742.0499877929688,751.7999877929688,746.9500122070312,1207191.0,712.2333984375,M&M
4467,751.2999877929688,743.5,748.0999755859375,749.3499755859375,1652980.0,714.5217895507812,M&M
4468,753.75,742.0,752.6500244140625,743.75,1042980.0,709.1820678710938,M&M
4469,744.7999877929688,716.0499877929688,744.0,724.6500244140625,1185926.0,690.9699096679688,M&M
4470,733.2000122070312,703.0,726.7999877929688,709.0,2981323.0,676.0472412109375,M&M
4471,716.0,701.0,716.0,708.4000244140625,2290218.0,675.47509765625,M&M
4472,724.5,700.4000244140625,702.0,721.9500122070312,3325355.0,688.3953247070312,M&M
4473,724.0,714.0,722.5499877929688,718.6500244140625,1648932.0,685.248779296875,M&M
4474,737.0,719.25,722.0,735.4000244140625,1525511.0,701.2202758789062,M&M
4475,742.0,731.0,741.9000244140625,739.7999877929688,1429191.0,705.4157104492188,M&M
4476,734.9500122070312,725.0999755859375,734.0,728.3499755859375,1814444.0,694.497802734375,M&M
4477,736.5,727.5,728.0,732.5499877929688,1831321.0,698.5026245117188,M&M
4478,743.0,722.1500244140625,727.0,739.5999755859375,2170367.0,705.2250366210938,M&M
4479,743.0,716.0,743.0,719.9000244140625,1763292.0,686.440673828125,M&M
