Date,High,Low,Open,Close,Volume,Adj Close,Company Name
2010-01-04,6215.0,6032.0,6081.0,6142.9501953125,18735.0,5979.57177734375,MRF
2010-01-05,6269.0,6150.0,6200.0,6160.60009765625,17947.0,5996.75244140625,MRF
2010-01-06,6198.0,6055.0,6180.0,6090.39990234375,10735.0,5928.4208984375,MRF
2010-01-07,6371.0,6151.0,6249.89990234375,6216.2001953125,42206.0,6050.87353515625,MRF
2010-01-08,6294.39990234375,6150.0,6243.2998046875,6166.85009765625,11155.0,6002.837890625,MRF
2010-01-11,6252.0,6150.0,6199.0,6158.60009765625,9387.0,5994.80615234375,MRF
2010-01-12,6194.39990234375,6060.0,6194.39990234375,6084.35009765625,7286.0,5922.53271484375,MRF
2010-01-13,6145.0,6048.0,6085.0,6107.10009765625,7550.0,5944.67529296875,MRF
2010-01-14,6485.0,6131.14990234375,6167.7998046875,6440.7998046875,59564.0,6269.5,MRF
2010-01-15,6549.5,6380.0,6498.7001953125,6406.10009765625,28721.0,6235.72216796875,MRF
2010-01-18,6498.9501953125,6325.0,6449.39990234375,6370.4501953125,14071.0,6201.02099609375,MRF
2010-01-19,6460.0,6275.0,6382.0,6294.14990234375,10455.0,6126.75244140625,MRF
2010-01-20,6352.85009765625,6150.0,6351.0,6185.0,7790.0,6020.50341796875,MRF
2010-01-21,6240.0,6090.0,6185.0,6102.25,6884.0,5939.955078125,MRF
2010-01-22,6149.0,6010.0,6110.0,6050.14990234375,10727.0,5889.24072265625,MRF
2010-01-25,6120.0,6021.0,6089.75,6042.35009765625,4312.0,5881.6474609375,MRF
2010-01-27,6117.7998046875,5555.0,6059.89990234375,5662.2001953125,16183.0,5511.609375,MRF
2010-01-28,5919.0,5685.0498046875,5757.0,5762.75,20888.0,5609.4833984375,MRF
2010-01-29,5839.0,5700.89990234375,5705.0,5802.9501953125,12640.0,5648.615234375,MRF
2010-02-01,6124.0,5770.0,5794.39990234375,6057.25,15389.0,5896.1513671875,MRF
2010-02-02,6225.0,5930.0,6130.0,5965.14990234375,14177.0,5806.5009765625,MRF
2010-02-03,6082.0,5933.10009765625,6039.39990234375,5962.89990234375,9081.0,5804.30908203125,MRF
